RK,PLAYER NAME,TEAM,POS,AGE
41,Baker Mayfield,TB,QB16,31
54,Jared Goff,DET,QB18,31
68,Tyler Shough,NO,QB22,26
71,Sam Darnold,SEA,QB23,28
75,Malik Willis,MIA,QB24,26
91,Matthew Stafford,LAR,QB27,38
132,J.J. McCarthy,MIN,QB29,23
135,Michael Penix Jr.,ATL,QB30,26
195,Tua Tagovailoa,ATL,QB32,28
220,Anthony Richardson Sr.,IND,QB33,23
224,Aaron Rodgers,FA,QB34,42
245,Geno Smith,NYJ,QB35,35
272,Mac Jones,SF,QB37,27
273,Carson Beck,ARI,QB38,23
275,Justin Fields,KC,QB39,27
297,Jalen Milroe,SEA,QB40,23
299,Kirk Cousins,LV,QB41,37
305,Deshaun Watson,CLE,QB42,30
340,Russell Wilson,FA,QB46,37
351,Jameis Winston,NYG,QB47,32
352,Marcus Mariota,WAS,QB48,32
359,Will Howard,PIT,QB49,24
366,Joe Milton III,DAL,QB50,26
369,Tyson Bagent,CHI,QB51,25
384,Dillon Gabriel,CLE,QB52,25
394,Taylen Green,CLE,QB54,23
395,Cole Payton,PHI,QB55,23
405,Spencer Rattler,NO,QB56,25
415,Mason Rudolph,PIT,QB57,30
418,Joe Flacco,CIN,QB58,41
423,Riley Leonard,IND,QB59,23
436,Trey Lance,LAC,QB60,26
438,Tyler Huntley,BAL,QB61,28
440,Davis Mills,HOU,QB62,27
441,Mitchell Trubisky,TEN,QB63,31
337,Raheim Sanders,CLE,RB100,23
339,Audric Estime,NO,RB101,22
347,Miles Sanders,FA,RB102,29
353,George Holani,SEA,RB103,26
365,Roschon Johnson,CHI,RB104,25
367,Emari Demercado,KC,RB105,27
372,Damien Martinez,GB,RB106,22
376,Robert Henry Jr.,WAS,RB107,-
377,Terion Stewart,KC,RB108,-
380,Samaje Perine,CIN,RB109,30
383,Phil Mafah,DAL,RB110,23
392,Bam Knight,ARI,RB111,25
393,Jam Miller,NE,RB112,-
404,Jeremy McNichols,WAS,RB113,30
419,Austin Ekeler,FA,RB114,30
426,Antonio Gibson,FA,RB115,27
429,Khalil Herbert,FA,RB116,28
430,Dameon Pierce,PHI,RB117,26
435,Raheem Mostert,LV,RB118,34
437,Le'Veon Moss,MIA,RB119,-
439,Dean Connors,LAR,RB120,-
